kanji;strokes;grade;freq;jlpt_old;jlpt_new;meanings;readings_on;readings_kun;wk_level;wk_meanings;wk_readings_on;wk_readings_kun;wk_radicals;fr_meanings
一;1;1.0;2.0;4.0;5.0;[One, One Radical (no.1)];[いち, いつ];[ひと-, ひと.つ];1;[One];[いち, いつ];[ひと];[Ground];chiffre 1
二;2;1.0;9.0;4.0;5.0;[Two, Two Radical (no. 7)];[に, じ];[ふた, ふた.つ, ふたたび];1;[Two];[に];[ふた];[Two];chiffre 2
三;3;1.0;14.0;4.0;5.0;[Three];[さん, ぞう];[み, み.つ, みっ.つ];1;[Three];[さん];[み];[Ground, Two];chiffre 3
四;5;1.0;47.0;4.0;5.0;[Four];[し];[よ, よ.つ, よっ.つ, よん];2;[Four];[し];[よん, よ];[Mouth, Legs];chiffre 4
五;4;1.0;31.0;4.0;5.0;[Five];[ご];[いつ, いつ.つ];2;[Five];[ご];[いつ];[Five];chiffre 5
六;4;1.0;93.0;4.0;5.0;[Six];[ろく, りく];[む, む.つ, むっ.つ, むい];2;[Six];[ろく];[む];[Lid, Fins];chiffre 6
七;2;1.0;115.0;4.0;5.0;[Seven];[しち];[なな, なな.つ, なの];1;[Seven];[しち];[なな, なの];[Seven];chiffre 7
八;2;1.0;92.0;4.0;5.0;[Eight, Eight Radical (no. 12)];[はち];[や, や.つ, やっ.つ, よう];1;[Eight];[はち];[や, よう];[Fins];chiffre 8
九;2;1.0;55.0;4.0;5.0;[Nine];[きゅう, く];[ここの, ここの.つ];1;[Nine];[く, きゅう];[ここの];[Nine];chiffre 9
十;2;1.0;8.0;4.0;5.0;[Ten];[じゅう, じっ, じゅっ];[とお, と];1;[Ten];[じゅう];[とお];[Cross];chiffre 10
学;8;1.0;63.0;4.0;5.0;[Study, Learning, Science];[がく];[まな.ぶ];5;[Study, Learn, Learning];[がく];[まな];[Viking, Child];étudier, apprendre
日;4;1.0;1.0;4.0;5.0;[Day, Sun, Japan, Counter For Days];[にち, じつ];[ひ, -び, -か];2;[Sun, Day];[にち, じつ];[ひ, か, び];[Sun];jour, soleil
国;8;2.0;3.0;4.0;5.0;[Country];[こく];[くに];6;[Country];[こく];[くに];[Mouth, King, Drop];pays, patrie
会;6;2.0;4.0;4.0;4.0;[Meeting, Meet, Party, Association, Interview, Join];[かい, え];[あ.う, あ.わせる, あつ.まる];5;[Meet];[かい];[あ];[Meet];rencontrer
人;2;1.0;5.0;4.0;5.0;[Person];[じん, にん];[ひと, -り, -と];1;[Person];[にん, じん];[ひと, と];[Person];être humain, homme, personne
年;6;1.0;6.0;4.0;5.0;[Year, Counter For Years];[ねん];[とし];4;[Year];[ねん];[とし];[Gun, Cow];Compteur pour les années
大;3;1.0;7.0;4.0;5.0;[Large, Big];[だい, たい];[おお-, おお.きい, -おお.いに];1;[Big, Large];[たい, だい];[おお];[Big];grand, important, étendu
本;5;1.0;10.0;4.0;5.0;[Book, Present, Main, Origin, True, Real, Counter For Long Cylindrical Things];[ほん];[もと];2;[Book, Origin, Real, Main];[ほん];[もと];[Book];origine livre, compteur d'objets longs
中;4;1.0;11.0;4.0;5.0;[In, Inside, Middle, Mean, Center];[ちゅう];[なか, うち, あた.る];2;[Middle, In, Inside, Center];[ちゅう];[なか];[Middle];milieu, centre, intérieur
長;8;2.0;12.0;4.0;5.0;[Long, Leader, Superior, Senior];[ちょう];[なが.い, おさ];6;[Long, Leader];[ちょう];[なが];[Long];long, chef
出;5;1.0;13.0;4.0;5.0;[Exit, Leave, Go Out, Come Out, Put Out, Protrude];[しゅつ, すい];[で.る, -で, だ.す, -だ.す, い.でる, い.だす];2;[Exit];[しゅつ];[で, だ];[Mountain];sortir, s'éloigner faire sortir
同;6;2.0;15.0;3.0;4.0;[Same, Agree, Equal];[どう];[おな.じ];5;[Same];[どう];[おな];[Mustache, Ground];identique, semblable
時;10;2.0;16.0;4.0;5.0;[Time, Hour];[じ];[とき, -どき];7;[Time, Oclock, Hour],;[じ];[とき];[Sun, Temple];moment, temps temps, heure
政;9;5.0;17.0;2.0;3.0;[Politics, Government];[せい, しょう];[まつりごと, まん];16;[Politics, Government];[せい];[];[Correct, Winter];gouvernement, règle, administration
事;8;3.0;18.0;3.0;4.0;[Matter, Thing, Fact, Business, Reason, Possibly];[じ, ず];[こと, つか.う, つか.える];9;[Action, Matter, Thing];[じ];[こと, つか];[Cross, Mouth, Brush];chose, fait, action
自;6;2.0;19.0;3.0;4.0;[Oneself];[じ, し];[みずか.ら, おの.ずから, おの.ずと];5;[Self];[じ, し];[];[Self];soi-même
行;6;2.0;20.0;4.0;5.0;[Going, Journey, Carry Out, Conduct, Act, Line, Row, Bank];[こう, ぎょう, あん];[い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう];5;[Go];[こう, ぎょう];[い, おこな, ゆ];[Go];aller, faire, agir
社;7;2.0;21.0;4.0;4.0;[Company, Firm, Office, Association, Shrine];[しゃ];[やしろ];5;[Company];[しゃ];[やしろ];[Spirit, Dirt];association, compagnie, sanctuaire shinto
見;7;1.0;22.0;4.0;5.0;[See, Hopes, Chances, Idea, Opinion, Look At, Visible];[けん];[み.る, み.える, み.せる];4;[See];[けん];[み];[See];regarder, voir, être visible, montrer, être trouvé
月;4;1.0;23.0;4.0;5.0;[Month, Moon];[げつ, がつ];[つき];2;[Moon, Month];[げつ, がつ];[つき];[Moon];lune, mois, mois de l'année
分;4;2.0;24.0;4.0;;[Part, Minute Of Time, Segment, Share, Degree, Ones Lot, Duty, Understand, Know, Rate, 1,% Chances, Shaku/100],;[ぶん, ふん, ぶ];[わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ];3;[Part, Minute, Separate, Understand];[ぶん, ふん, ぶ];[わ];[Fins, Sword];minute, partie, division, fraction, diviser, partager, fractionner
